xB,yB
60.0,0.0
65.6192146832288,0.0
60.538537391721384,-1.7103587478528446
58.621941074837274,-6.54416366028346
61.29937869428947,-11.498157776035985
56.690508295399184,-13.527946161471498
50.919348390311264,-11.900952880158982
48.95926177972251,-6.459177222763015
44.233317825192806,-3.7566868308199886
41.4884843406755,0.4935100579402394
46.435678161116286,-1.4314298703077857
51.35263576056456,1.4000214660052601
46.36970267524066,-1.1444077684451874
46.44450161234181,3.9412588700419127
40.92210025130968,3.805895636651649
45.18254716263236,0.6875719332441874
43.765003202964046,-4.118289262173759
38.06529667424053,-3.1024763649628824
42.33417750818658,-7.208435278503471
47.200836768191834,-9.947624219240682
52.19291290066977,-10.759227885339069
46.24883173041932,-11.199673929508267
42.77783988817141,-6.5276086548461265
47.335587926116965,-3.419545612381686
52.97023161601665,-3.653393754209488
47.294924385618614,-3.3767763419101318
43.19246348080925,-0.2993760015270426
44.61686844581996,-5.201486017895256
38.63741248454614,-5.017492143413606
43.696419186462926,-7.306374011144696
48.44568366442526,-10.139295926502422
51.44607674100321,-15.05577994772558
54.42268695776271,-10.120831351671242
48.511117101771745,-9.784301197169025
43.03089460579362,-10.578974143885304
37.79210331547521,-10.02931881141081
40.351606201700896,-14.878309398408843
44.21525216782819,-18.57931491441853
46.731637318274096,-23.9899675302762
45.67968156770295,-18.75519617887059
47.09848912991227,-23.79554605108367
46.864589480149654,-18.02702903740553
44.80541717898902,-12.814467875313445
39.215875971591025,-14.375658718537723
39.02043377178575,-19.65102508185747
40.86406372346389,-14.941609913072636
41.12616996632274,-20.024219382540863
39.64757852625435,-25.613079700611568
39.30793819519195,-30.651335219565134
42.402759464933816,-25.58102768823816
37.70760733078162,-28.03257529791889
39.85784419481808,-23.038916699839188
39.73557608706955,-17.497435594518425
41.147535559549304,-12.127463086512225
39.78079266147837,-6.550902386244609
41.653796228115475,-11.339095676020602
45.13734465345082,-15.185088088416556
45.96659468070967,-21.121597695949884
50.50770521760415,-17.536835263671
51.13177152843319,-12.436819004917632
46.29319843322597,-9.53104467973792
41.201899891563656,-7.021595793893574
46.86994462535064,-7.178208737142926
50.25820682654091,-10.92527979315824
53.98773347311675,-7.391838153842985
57.11960836075243,-11.784396608404748
62.1310473075894,-9.157539747696939
57.657665978759,-5.4152264901635725
54.39722925481378,-1.25384086704954
55.291343655454746,4.022985988623026
60.837129645947684,2.3047623972675213
66.77891549750476,2.8701568087896017
61.96908029642992,5.58503320888363
58.2799228960115,1.3877270052505493
55.210184810551034,5.519665067704623
59.45471022677692,2.7523086574657385
64.973748194915,2.261346347968568
70.51045418443975,2.087563121305475
69.62141058731113,7.32904626470498
65.99095187983966,10.955021282953577
69.99488516465227,7.3156255755313815
64.36993653636996,8.161246314595225
63.23714824932912,13.933080309431713
59.06686537895728,10.9377322644692
53.91257854980161,9.835763410309605
58.15127987043391,13.368410480869285
60.44145418212915,18.83699736853746
66.15021426709848,18.399524644135024
70.86395470687742,15.126041264171713
68.97487783249466,20.013064011550746
72.33975313802503,15.46743552568513
67.37963875227557,14.0695858224672
